country,year,decade,renewables_pct,fossil_pct,gdp_per_capita,log_gdp_per_capita,energy_consumption
Australia,2008,2000,3.499,96.501,43886.921666757524,10.68937164275973,1531.745
Australia,2009,2000,3.722,96.278,44214.723150294994,10.69681311554717,1509.545
Australia,2010,2010,4.088,95.912,44886.31046330337,10.711888137783383,1508.838
Australia,2011,2010,5.392,94.608,45552.062293094605,10.72661117703301,1558.602
Australia,2012,2010,5.4,94.6,46500.64650297856,10.74722149476866,1536.113
Australia,2013,2010,6.173,93.827,46740.20442083844,10.752359981657063,1555.586
Australia,2014,2010,5.663,94.337,47207.45012360144,10.762307000719698,1566.458
Australia,2015,2010,5.955,94.045,47574.05577364153,10.770042844855286,1601.626
Australia,2016,2010,6.785,93.215,48087.50755650553,10.780777704201283,1606.889
Australia,2017,2010,6.373,93.627,48434.38230747558,10.78796521875915,1602.028
Australia,2018,2010,7.848,92.152,49028.33045330955,10.800153582531951,1625.908
Australia,2019,2010,8.407,91.593,49268.90997619013,10.80504853181429,1680.293
Australia,2020,2020,10.292,89.708,47866.29839611398,10.776166953224056,1585.412
Australia,2021,2020,12.283,87.717,49957.01810920205,10.81891827689385,1589.323
Australia,2022,2020,13.247,86.753,51305.37427437371,10.845550787355437,1660.79
Austria,1965,1960,23.94,76.06,12328.807395948483,9.419693867712986,189.498
Austria,1966,1960,24.66,75.34,12930.957041047739,9.4673794861225,198.325
Austria,1967,1960,24.931,75.069,13226.264082649644,9.4899598349678,200.363
Austria,1968,1960,23.942,76.058,13743.43789876416,9.528316745451441,214.242
Austria,1969,1960,21.212,78.788,14556.46556512595,9.58579054263427,221.926
Austria,1970,1970,23.624,76.376,15538.593873554844,9.651082135500454,254.149
Austria,1971,1970,18.684,81.316,16260.836128424917,9.696514804192072,253.084
Austria,1972,1970,18.56,81.44,17171.13534540689,9.750985075491513,261.826
Austria,1973,1970,19.189,80.811,17910.380383164007,9.793135733420177,281.51
Austria,1974,1970,22.621,77.379,18585.62943120413,9.830143949857835,282.962
Austria,1975,1970,23.879,76.121,18566.62084965451,9.829120669541592,281.064
Austria,1976,1970,19.89,80.11,19450.745545912945,9.875640679721368,290.894
Austria,1977,1970,24.109,75.891,20352.953204246885,9.920981300943577,291.598
Austria,1978,1970,23.115,76.885,20295.958054822757,9.918177034604867,304.19
Austria,1979,1970,24.606,75.394,21439.06645933645,9.972970072228197,322.217
Austria,1980,1980,25.617,74.383,21934.981363485036,9.995837963975383,320.874
Austria,1981,1980,28.003,71.997,21857.559667792088,9.992302120905698,311.52
Austria,1982,1980,29.015,70.985,22258.510092461744,10.010479690534757,301.322
Austria,1983,1980,28.818,71.182,22918.905064906656,10.039717397650325,300.495
Austria,1984,1980,25.484,74.516,22995.959817953724,10.043073819392278,297.469
Austria,1985,1980,28.506,71.494,23499.905479283636,10.064751677966019,315.806
Austria,1986,1980,28.914,71.086,24035.33252979068,10.08728021546392,316.435
Austria,1987,1980,30.869,69.131,24423.78797961109,10.103312853555346,334.019
Austria,1988,1980,31.4,68.6,25159.82158018896,10.133003619381798,329.132
Austria,1989,1980,31.084,68.916,26103.51483694108,10.169825252325886,330.973
Austria,1990,1990,27.764,72.236,27081.930887528782,10.206622027568786,333.824
Austria,1991,1990,26.528,73.472,27844.370912862214,10.234386103305356,349.4
Austria,1992,1990,29.828,70.172,28230.1312560765,10.248145170761221,344.792
Austria,1993,1990,30.718,69.282,28259.646838972458,10.249190159308785,352.443
Austria,1994,1990,30.028,69.972,28942.401738338005,10.273062987009354,349.408
Austria,1995,1990,30.14,69.86,29788.03404818069,10.301862049846557,367.661
Austria,1996,1990,27.074,72.926,30584.50860686024,10.328248905072536,375.696
Austria,1997,1990,28.264,71.736,31349.24189402901,10.352945363760034,380.569
Austria,1998,1990,28.532,71.468,32559.68882096995,10.390830262975289,389.247
Austria,1999,1990,30.668,69.332,33799.06882352956,10.428188531491896,392.804
Austria,2000,2000,31.268,68.732,34994.714544082446,10.46295231604172,395.171
Austria,2001,2000,29.411,70.589,35479.660408496,10.47671486502754,406.593
Austria,2002,2000,28.923,71.077,36036.17925755169,10.492278692160992,406.828
Austria,2003,2000,24.121,75.879,36255.52605432938,10.498347091542637,407.704
Austria,2004,2000,26.119,73.881,37155.76294904898,10.522874164603568,422.457
Austria,2005,2000,26.317,73.683,37845.84009000142,10.541276347673703,431.35
Austria,2006,2000,26.99,73.01,39085.945242996255,10.573518224652549,425.865
Austria,2007,2000,29.094,70.906,40533.455674423894,10.609882978125023,420.066
Austria,2008,2000,29.577,70.423,41196.95060955756,10.626119518267295,424.56
Austria,2009,2000,32.548,67.452,39678.387114288875,10.588561913251336,409.772
Austria,2010,2010,30.113,69.887,40505.52529830234,10.609193670907874,421.558
Austria,2011,2010,29.158,70.842,41665.92664350685,10.637438966902772,395.869
Austria,2012,2010,34.498,65.502,41758.758775174196,10.639664499298078,414.402
Austria,2013,2010,34.024,65.976,41524.093658708436,10.634029107842537,410.852
Austria,2014,2010,35.017,64.983,41473.98410669303,10.632821620646375,394.889
Austria,2015,2010,33.052,66.948,41428.35887120798,10.631720922199202,396.383
Austria,2016,2010,34.026,65.974,41798.5903456429,10.64061789415574,409.651
Austria,2017,2010,33.213,66.787,42446.99116661528,10.656011309760176,417.569
Austria,2018,2010,33.139,66.861,43265.67020465517,10.675114763609757,408.402
Austria,2019,2010,34.189,65.811,43728.194610419065,10.685748358634049,427.96
Austria,2020,2020,36.88,63.12,40720.17963499459,10.614479062683106,400.144
Austria,2021,2020,34.638,65.362,42358.977758244546,10.653935667182525,406.335
Austria,2022,2020,35.134,64.866,43996.64490564364,10.691868657848593,381.823
Azerbaijan,1985,1980,1.553,98.447,8409.318514026027,9.037095716868679,234.951
Azerbaijan,1986,1980,0.884,99.116,8518.591476211697,9.050006286463091,252.834
Azerbaijan,1987,1980,0.912,99.088,8861.344645295027,9.08945379791851,245.023
Azerbaijan,1988,1980,0.791,99.209,9188.889993989893,9.125750423940477,245.204
Azerbaijan,1989,1980,0.776,99.224,8343.636799601763,9.0292544674017,250.052
Azerbaijan,1990,1990,1.77,98.23,7362.049917135522,8.904093694292987,260.551
Azerbaijan,1991,1990,1.954,98.046,7304.389598782771,8.896230761320869,250.351
Azerbaijan,1992,1990,2.267,97.733,5643.6040080040175,8.638278148924451,214.394
Azerbaijan,1993,1990,3.632,96.368,4329.147625857213,8.373125948467651,185.98
Azerbaijan,1994,1990,2.981,97.019,3465.956598817121,8.150743948217093,170.865
Azerbaijan,1995,1990,2.695,97.305,3003.9417265826373,8.007680614088226,160.648
Azerbaijan,1996,1990,3.248,96.752,3068.118750256194,8.028819867818983,131.741
Azerbaijan,1997,1990,3.779,96.221,3331.1744383346227,8.111080204980613,126.155
Azerbaijan,1998,1990,4.291,95.709,3529.670808596468,8.168959890223682,126.645
Azerbaijan,1999,1990,3.318,96.682,3937.8661806373752,8.27839427706693,126.353
Azerbaijan,2000,2000,3.233,96.767,4190.411281570253,8.340554165991675,132.055
Azerbaijan,2001,2000,2.83,97.17,4467.181006488785,8.404512841348003,127.227
Azerbaijan,2002,2000,4.419,95.581,4839.603028581909,8.48458797745891,125.609
Azerbaijan,2003,2000,4.963,95.037,5356.167849568504,8.586004044925042,136.035
Azerbaijan,2004,2000,4.866,95.134,5902.0283874648785,8.6830513652956,153.898
